YYYYMMDD, C072, G072,Pday_mm
20031104,-9999,0,0
20031105,-9999,8,0.8
20031106,-9999,0,0
20031107,-9999,0,0
20031108,-9999,52,5.2
20031109,-9999,21,2.1
20031110,-9999,0,0
20031111,-9999,0,0
20031112,-9999,11,1.1
20031113,-9999,0,0
20031114,-9999,13,1.3
20031115,-9999,1,0.1
20031116,-9999,219,21.9
20031117,-9999,0,0
20031118,-9999,0,0
20031119,-9999,1,0.1
20031120,-9999,0,0
20031121,-9999,0,0
20031122,-9999,0,0
20031123,-9999,169,16.9
20031124,-9999,7,0.7
20031125,-9999,6,0.6
20031126,-9999,105,10.5
20031127,-9999,99,9.9
20031128,-9999,2,0.2
