"INDICATIVO","year","month","name_day","P_10mm","day"
"2017Y",2011,3,"P14",64,"014"
"2017Y",2011,3,"P15",250,"015"
"2017Y",2011,3,"P16",246,"016"
"2017Y",2011,3,"P17",0,"017"
"2017Y",2011,3,"P18",0,"018"
"2017Y",2011,3,"P19",0,"019"
"2017Y",2011,3,"P20",0,"020"
"2017Y",2011,3,"P21",0,"021"
"2017Y",2011,3,"P22",4,"022"
"2017Y",2011,3,"P23",0,"023"
"2017Y",2011,3,"P24",328,"024"
"2017Y",2011,3,"P25",6,"025"
"2017Y",2011,3,"P26",4,"026"
"2017Y",2011,3,"P27",98,"027"
"2017Y",2011,3,"P28",0,"028"
"2017Y",2011,3,"P29",32,"029"
"2017Y",2011,3,"P30",0,"030"
"2017Y",2011,3,"P31",4,"031"
"2017Y",2011,4,"P1",0,"01"
"2017Y",2011,4,"P2",0,"02"
"2017Y",2011,4,"P3",238,"03"
"2017Y",2011,4,"P4",2,"04"
"2017Y",2011,4,"P5",0,"05"
"2017Y",2011,4,"P6",0,"06"
