INDICATIVO,year,month,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31
9185,1992,4,50,75,31,92,0,19,40,65,32,0,0,14,0,0,13,44,0,0,0,0,0,0,0,0,0,0,0,3,-3,0,NA
9185,1992,5,340,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,52,17,32,71,0,7,0,20,37,22,9,11
9185,1992,6,123,110,103,16,66,120,61,9,22,0,0,0,-3,8,52,132,0,0,0,2,52,150,85,0,0,0,0,106,0,2,NA
9185,1992,7,0,0,0,0,21,2,0,0,0,0,2,-3,0,0,71,0,0,0,0,-3,0,0,0,0,0,0,165,65,114,42,0
9185,1992,8,0,9,112,0,0,-3,208,0,0,0,0,0,0,0,0,0,0,4,93,-3,0,0,0,0,55,0,0,90,0,15,12
9185,1992,9,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,110,88,0,0,0,NA
9185,1992,10,0,8,280,137,30,8,3,50,111,116,4,-3,3,0,40,300,3,43,30,65,0,90,103,6,0,-3,3,0,216,132,15
9185,1992,11,18,13,0,-3,0,0,0,0,0,0,44,0,0,4,15,-3,6,35,0,0,0,0,0,0,0,0,0,0,0,0,NA
9185,1992,12,-3,13,-3,184,13,90,75,42,23,0,0,4,0,40,0,31,0,0,0,0,0,0,4,15,30,0,0,0,0,0,0
9185,1993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,-3
9185,1993,2,2,0,0,0,0,3,0,0,13,0,24,0,0,0,0,0,0,-3,0,0,4,0,3,0,0,134,183,54,NA,NA,NA
9185,1993,3,288,0,0,0,0,0,0,0,0,0,0,6,23,174,4,0,0,0,8,0,20,0,27,53,0,0,0,0,0,0,2
9185,1993,4,33,0,0,0,0,0,0,0,0,20,13,30,4,103,102,0,0,0,0,2,0,0,101,62,70,0,36,63,33,47,NA
9185,1993,5,8,0,12,0,0,30,62,114,342,43,90,12,18,24,0,0,15,52,5,4,0,0,4,472,272,144,12,0,3,0,0
9185,1993,6,0,0,0,32,0,0,20,47,15,15,0,0,0,0,0,0,0,0,10,47,31,16,-3,0,0,0,0,0,30,85,NA
9185,1993,7,-3,20,0,0,4,0,0,0,0,2,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
9185,1993,8,0,0,0,0,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,165,-3,2,6,5,0,0,0
9185,1993,9,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,62,2,34,0,0,130,110,110,0,0,0,0,0,26,0,NA
9185,1993,10,26,66,0,2,11,34,80,60,130,72,241,165,145,0,66,105,64,60,0,12,0,43,22,21,12,4,32,62,0,5,21
9185,1993,11,13,32,0,0,37,152,45,0,0,25,15,25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,50,8,20,NA
9185,1993,12,63,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,23,0,0,0,350,0,32,0,23,0,0
9185,1994,1,0,0,0,0,353,82,131,204,90,22,0,0,0,0,63,125,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0
9185,1994,2,0,32,74,5,0,5,5,-3,0,0,0,32,-3,0,0,0,103,0,31,0,4,0,62,0,0,13,34,124,NA,NA,NA
9185,1994,3,23,0,0,0,0,92,0,0,0,0,12,14,0,0,0,0,0,0,0,0,0,0,0,0,14,10,0,0,0,24,0
9185,1994,4,25,72,0,0,0,0,0,0,42,63,100,0,0,6,8,7,8,-3,0,36,0,22,22,83,0,0,0,0,0,0,NA
9185,1994,5,0,10,0,0,0,0,172,2,0,0,4,0,43,0,152,52,11,15,34,32,21,13,12,0,0,0,0,0,0,0,0
9185,1994,6,152,0,0,0,0,0,42,0,0,0,0,0,0,0,0,28,162,13,0,0,0,0,0,-3,-3,0,0,0,0,0,NA
9185,1994,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,0,0,0,0,0,0,242,0,3,0,15,20,116,0,0
9185,1994,8,0,0,21,24,0,0,0,0,0,4,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0
9185,1994,9,0,0,0,8,0,0,-3,0,0,0,0,31,8,0,0,4,0,-3,0,62,0,-3,160,2,8,10,15,15,77,-3,NA
9185,1994,10,61,0,0,171,0,0,0,0,60,0,0,0,0,24,220,-3,45,78,91,28,18,3,0,0,0,0,193,0,0,0,0
9185,1994,11,0,0,51,142,25,64,2,42,0,0,0,122,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,2,0,NA
9185,1994,12,0,0,0,7,0,0,21,8,0,0,0,0,0,0,0,0,0,22,0,24,0,160,0,0,3,0,0,0,0,0,200
9185,1995,1,104,85,0,0,66,34,236,40,0,0,163,0,0,0,0,0,142,5,7,0,0,0,6,0,0,22,0,-3,12,0,0
9185,1995,2,0,22,0,0,0,0,0,0,0,64,0,25,-3,0,0,0,60,0,0,0,43,0,0,0,42,102,22,0,NA,NA,NA
9185,1995,3,0,0,104,90,92,21,21,0,0,15,-3,-3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
9185,1995,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,-3,30,22,0,156,212,0,0,31,0,0,0,NA
9185,1995,5,0,120,60,10,5,0,0,221,210,52,31,52,0,3,0,15,12,30,41,0,0,0,0,6,42,0,0,0,0,9,10
9185,1995,6,0,0,0,0,0,0,60,0,0,0,0,0,0,5,0,21,0,0,0,6,7,0,0,0,3,11,7,0,25,20,NA
9185,1995,7,23,3,115,-3,0,0,-3,0,84,57,0,0,0,0,0,0,0,0,-3,-3,0,0,0,0,0,0,0,0,0,0,23
9185,1995,8,61,0,0,0,0,0,0,0,60,175,0,0,0,0,0,0,0,0,3,11,11,11,180,0,0,0,0,0,0,0,0
9185,1995,9,0,0,-3,50,11,21,7,0,0,12,4,0,0,0,0,7,41,38,10,30,0,0,4,42,15,0,0,0,0,-3,NA
9185,1995,10,0,0,0,40,3,0,0,0,0,0,0,0,0,45,0,0,0,0,0,7,0,0,0,0,6,0,0,0,0,0,0
9185,1995,11,0,0,13,0,0,0,0,0,4,321,324,-3,0,-3,33,0,43,85,0,0,31,292,0,0,100,0,2,0,0,32,NA
9185,1995,12,0,31,40,372,0,0,91,12,12,0,0,0,0,0,224,0,0,0,0,0,12,80,160,260,300,75,20,3,70,38,110
9185,1996,1,0,0,0,10,162,70,178,41,10,10,42,0,0,0,0,0,0,0,15,4,327,45,122,82,3,0,122,30,5,2,42
9185,1996,2,101,10,12,15,80,193,22,0,0,0,0,3,124,22,0,0,0,92,60,93,102,5,0,0,51,81,0,0,0,NA,NA
9185,1996,3,2,0,0,0,0,0,0,0,0,0,0,0,23,134,5,0,0,0,4,0,0,0,0,5,15,2,12,0,17,27,121
9185,1996,4,126,31,0,0,0,31,-3,0,0,2,-3,0,0,0,0,74,0,0,0,0,57,154,0,0,0,0,105,30,10,30,NA
9185,1996,5,40,30,5,2,17,30,0,90,12,12,0,0,0,0,7,-3,107,72,60,0,0,0,0,0,0,0,0,0,0,0,66
9185,1996,6,3,0,0,0,0,0,50,21,2,17,0,0,0,0,0,0,11,433,123,3,38,-3,0,0,0,0,0,0,0,0,NA
9185,1996,7,0,0,0,0,-3,-3,60,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,56,2,312,26,0,0,0,0
9185,1996,8,0,3,0,0,0,0,66,0,0,0,0,0,0,7,0,0,7,55,0,33,3,0,0,0,0,26,0,0,0,0,0
9185,1996,9,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,6,2,22,88,142,21,0,0,0,0,0,0,0,7,NA
9185,1996,10,0,20,0,8,212,90,0,2,0,0,0,0,250,4,-3,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0
9185,1996,11,0,0,0,42,0,0,0,0,0,170,122,3,0,13,0,152,65,70,45,27,46,40,5,0,105,0,85,41,3,4,NA
9185,1996,12,11,10,0,280,127,10,10,130,21,0,50,67,122,65,0,0,37,124,42,31,134,102,70,0,83,0,0,0,0,49,0
9185,1997,1,0,32,0,160,35,53,102,63,65,54,12,0,0,0,43,121,50,22,232,170,37,172,132,5,3,0,0,3,0,0,18
9185,1997,2,0,20,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,NA,NA,NA
9185,1997,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0
9185,1997,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,344,80,176,0,0,0,0,0,5,5,5,6,0,NA
9185,1997,5,0,0,9,40,28,140,44,0,0,0,4,13,140,20,12,71,7,3,26,0,0,0,17,0,7,10,0,271,55,181,210
9185,1997,6,87,77,45,272,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,50,217,15,0,NA
9185,1997,7,12,118,0,12,0,0,0,246,10,0,0,0,0,0,0,105,0,0,0,0,147,233,365,0,0,0,0,63,95,43,0
9185,1997,8,0,0,0,0,11,0,0,50,0,45,0,0,0,0,300,103,74,0,0,48,0,15,0,15,41,0,20,0,0,0,0
9185,1997,9,71,0,0,0,0,0,0,0,0,0,0,0,-3,172,0,0,0,0,0,0,0,0,0,150,0,340,-3,0,0,0,NA
9185,1997,10,0,0,0,0,0,101,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,62,0,0,0,0,72,15,0,0,0
9185,1997,11,0,22,20,35,362,146,-3,129,36,240,7,10,15,0,0,0,0,21,13,52,0,0,0,24,102,5,0,0,161,140,NA
9185,1997,12,65,17,0,0,0,0,0,0,0,0,50,0,0,0,0,206,456,0,25,0,5,65,0,0,0,0,62,0,0,65,22
9185,1998,1,12,0,80,0,0,0,0,0,0,0,0,131,0,0,0,13,0,0,0,101,0,0,0,0,81,112,0,231,0,80,0
9185,1998,2,30,41,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,21,34,0,0,0,0,0,NA,NA,NA
9185,1998,3,0,0,0,0,0,0,0,50,57,48,172,72,0,0,0,0,0,0,0,0,0,72,-3,0,0,0,0,14,48,0,62
9185,1998,4,24,3,0,26,0,55,0,12,22,32,50,52,24,51,16,74,23,0,0,0,0,41,0,0,20,112,21,5,105,22,NA
9185,1998,5,4,7,51,25,0,0,0,0,0,5,141,2,82,25,7,0,0,0,178,6,3,0,0,0,0,31,21,0,182,3,72
9185,1998,6,65,0,61,85,181,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,260,NA
9185,1998,7,12,0,0,0,0,0,0,0,0,0,0,0,40,10,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,18
9185,1998,8,5,3,0,0,0,0,0,0,0,0,0,45,-3,0,43,222,162,0,7,0,0,0,0,0,27,0,0,0,0,0,0
9185,1998,9,0,0,0,0,0,0,5,0,0,0,0,51,21,20,2,0,0,0,0,0,0,82,62,72,205,4,22,3,21,3,NA
9185,1998,10,0,0,70,31,7,7,146,147,100,11,-3,6,0,0,0,0,-3,41,13,0,0,0,0,0,30,0,0,0,0,0,0
9185,1998,11,0,7,75,10,0,0,0,0,0,8,7,8,0,0,0,0,5,5,0,0,0,0,-3,3,115,31,0,21,223,60,NA
9185,1998,12,0,6,0,0,6,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,52
9185,1999,1,0,0,0,0,0,0,0,0,403,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9185,1999,2,0,0,0,0,0,13,13,0,142,146,0,0,0,0,26,7,0,0,0,5,0,0,16,66,0,11,60,0,NA,NA,NA
9185,1999,3,0,0,20,0,65,19,3,-3,0,0,124,28,34,22,13,0,0,0,0,0,6,0,0,2,31,20,51,2,0,0,0
9185,1999,4,0,0,0,0,0,0,3,4,0,0,0,13,0,45,31,76,22,0,0,7,73,0,33,0,33,6,90,78,0,43,NA
9185,1999,5,15,53,30,2,2,60,52,0,0,0,0,0,0,60,10,0,110,42,15,0,0,0,0,3,152,0,0,0,0,4,18
9185,1999,6,200,0,0,0,0,0,0,0,58,-3,0,380,0,0,0,110,208,0,0,0,0,0,94,26,0,0,0,0,0,0,NA
9185,1999,7,40,0,0,65,42,0,0,0,0,0,256,182,0,0,0,0,6,134,0,0,0,0,0,0,0,380,81,3,0,92,40
9185,1999,8,60,0,7,10,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
9185,1999,9,0,0,0,10,30,46,0,0,0,0,0,54,52,15,0,4,-3,137,4,0,0,5,2,27,0,0,3,0,0,7,NA
9185,1999,10,0,0,-3,0,0,0,4,0,0,0,0,160,0,0,0,17,62,2,62,272,143,106,214,7,2,168,52,4,0,0,0
9185,1999,11,4,40,0,0,0,5,0,0,0,7,4,62,101,391,32,18,52,95,82,148,31,4,0,0,0,0,0,0,0,0,NA
9185,1999,12,0,0,0,9,0,0,0,0,23,40,0,0,0,99,303,26,0,0,19,0,0,0,0,0,0,0,13,0,0,0,0
9185,2000,1,0,0,0,0,0,0,0,32,63,0,0,0,56,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9185,2000,2,11,0,0,0,0,0,0,0,0,0,0,0,33,0,0,13,55,0,0,0,0,7,15,0,0,0,0,0,0,NA,NA
9185,2000,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,8,24,28,0,10,0,92,22,0,14,12
9185,2000,4,0,227,10,40,31,0,0,71,65,120,11,44,15,55,228,7,27,50,3,-3,0,60,0,0,0,0,14,0,7,0,NA
9185,2000,5,0,0,27,27,4,280,18,24,48,68,5,0,0,0,0,65,36,0,32,0,31,0,77,42,12,12,0,0,0,0,0
9185,2000,6,105,0,0,82,77,0,0,0,118,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,NA
9185,2000,7,0,0,84,0,0,0,0,0,0,32,0,0,0,0,0,0,50,0,0,0,0,0,0,20,0,0,0,0,0,0,0
9185,2000,8,10,2,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,35,0,0,0,0,35,0,0,0,127,0,0
9185,2000,9,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,35,16,37,0,0,0,0,0,-3,20,0,10,0,19,NA
9185,2000,10,20,0,0,0,0,0,0,0,21,0,94,0,80,7,47,0,0,0,0,125,83,10,88,2,0,0,0,0,0,31,0
9185,2000,11,43,11,0,43,170,0,0,0,0,0,0,98,0,0,0,38,7,-3,5,8,15,180,0,110,8,19,0,49,101,34,NA
9185,2000,12,91,0,7,7,28,200,70,17,0,0,0,0,0,35,0,0,0,0,0,0,0,161,75,60,103,8,26,93,29,68,9
9185,2001,1,190,17,136,21,172,0,0,0,48,26,90,0,0,0,0,13,43,34,3,0,0,17,50,63,43,133,72,142,0,77,72
9185,2001,2,0,0,0,0,15,160,80,40,0,0,0,0,8,8,0,0,0,42,0,0,0,0,4,4,13,0,32,0,NA,NA,NA
9185,2001,3,200,113,240,132,27,20,18,20,3,0,0,80,0,0,0,45,0,0,0,20,22,0,0,53,30,15,-3,5,47,7,0
9185,2001,4,0,0,0,0,0,0,43,0,0,0,13,0,0,0,0,0,0,0,7,65,35,0,0,0,0,0,0,3,7,52,NA
9185,2001,5,46,25,44,65,3,0,0,27,5,0,0,0,30,0,0,69,0,0,0,0,0,65,0,0,0,0,0,0,0,-3,6
9185,2001,6,0,0,0,0,0,0,0,0,52,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
9185,2001,7,0,0,17,10,70,33,0,177,10,0,0,0,0,88,0,0,0,0,3,0,0,0,0,0,0,0,10,150,0,0,0
9185,2001,8,0,0,0,0,0,0,0,0,0,0,0,167,88,38,80,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0
9185,2001,9,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,23,51,0,0,0,0,81,0,0,NA
9185,2001,10,0,0,24,0,-3,6,-3,26,0,0,0,33,0,0,0,0,103,86,192,60,0,22,0,0,0,0,0,0,0,0,0
9185,2001,11,0,0,0,0,0,0,0,77,57,0,0,17,357,80,28,40,7,8,8,0,0,0,0,0,0,17,0,0,0,0,NA
9185,2001,12,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,15
9185,2002,1,35,46,42,2,0,0,0,0,0,0,0,0,105,0,55,16,22,8,0,0,0,13,106,0,0,0,0,0,0,0,0
9185,2002,2,0,0,0,0,100,12,0,0,0,0,0,0,20,0,4,4,12,25,0,52,0,0,0,0,0,0,11,74,NA,NA,NA
9185,2002,3,0,0,40,32,160,37,12,0,0,0,5,0,81,85,55,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9185,2002,4,0,65,0,0,114,27,0,0,0,60,112,26,13,7,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,NA
9185,2002,5,6,60,32,2,13,13,248,174,72,0,0,0,0,0,0,0,40,0,0,38,12,46,0,0,0,-3,0,0,0,0,233
9185,2002,6,-3,13,8,150,35,6,55,73,0,0,0,3,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,28,NA
9185,2002,7,0,0,0,0,7,0,37,33,77,0,0,3,0,0,0,0,0,0,-3,-3,0,0,0,0,0,0,0,18,42,0,0
9185,2002,8,0,0,0,0,0,0,0,0,72,0,0,0,0,15,116,20,-3,-3,0,0,35,292,15,65,200,-3,0,32,0,4,0
9185,2002,9,0,16,147,0,0,0,0,160,15,13,23,8,14,6,54,16,10,0,0,145,55,30,0,0,0,0,0,0,0,120,NA
9185,2002,10,50,25,0,0,0,0,0,38,145,400,10,0,0,0,2,0,25,0,0,27,62,16,-3,0,0,0,0,0,0,60,0
9185,2002,11,15,0,0,0,0,180,22,0,0,0,0,0,100,168,23,2,0,0,122,132,23,200,14,55,0,0,13,2,20,45,NA
9185,2002,12,81,145,40,134,230,0,0,3,55,247,15,0,86,25,0,5,15,15,40,0,0,0,5,0,4,89,103,0,0,17,41
9185,2003,1,8,140,0,26,51,52,41,0,31,0,0,0,0,0,0,0,0,102,18,127,0,74,0,0,0,3,0,3,346,384,152
9185,2003,2,0,0,0,177,0,17,0,0,0,0,7,12,20,12,0,0,8,132,0,0,20,25,3,47,420,0,6,5,NA,NA,NA
9185,2003,3,0,5,0,0,120,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,50,134,22,120,44,0
9185,2003,4,0,55,0,0,0,0,0,0,7,30,30,0,113,133,92,0,0,22,57,0,0,17,-3,-3,17,0,0,0,0,-3,NA
9185,2003,5,0,0,0,40,207,657,150,15,0,0,27,0,0,0,0,27,0,0,0,20,0,0,0,12,30,0,0,0,0,7,37
9185,2003,6,60,0,0,8,0,0,35,3,0,0,0,0,0,0,17,77,0,0,0,0,0,0,14,0,0,0,56,0,0,0,NA
9185,2003,7,0,0,0,0,0,0,0,8,67,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
9185,2003,8,0,0,0,0,0,0,0,12,3,2,-3,0,-3,-3,110,42,81,3,0,0,3,80,48,10,0,0,0,207,0,0,67
9185,2003,9,132,10,400,227,0,4,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,17,0,0,27,110,NA
9185,2003,10,40,157,0,10,42,0,0,0,0,0,4,-3,93,30,18,24,0,70,102,45,0,0,0,0,192,36,80,170,62,172,41
9185,2003,11,44,0,0,0,40,0,0,0,32,3,5,0,4,3,144,272,0,0,0,0,0,120,180,-3,118,14,0,17,12,33,NA
9185,2003,12,0,0,0,12,142,51,0,5,7,0,17,5,4,14,0,0,30,30,0,0,25,0,18,16,0,0,38,59,93,43,8
9185,2004,1,48,43,49,0,0,0,0,0,0,0,0,0,0,11,0,0,407,0,0,0,0,0,62,17,40,157,127,0,0,8,4
9185,2004,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,243,101,31,3,32,101,24,142,122,33,NA,NA
9185,2004,3,22,0,0,0,0,8,0,0,0,20,22,50,0,0,0,0,0,0,0,0,0,23,20,12,5,25,63,87,202,24,12
9185,2004,4,102,0,0,0,0,0,0,5,40,15,20,25,0,0,15,12,27,70,0,0,80,12,0,0,0,0,464,110,70,3,NA
9185,2004,5,55,130,12,25,75,37,17,0,0,20,15,0,0,0,0,0,0,0,0,0,70,317,0,2,0,0,22,20,152,0,0
9185,2004,6,0,0,0,0,0,0,93,54,50,45,13,0,0,0,0,0,0,32,4,0,0,0,0,0,0,0,0,0,0,0,NA
9185,2004,7,0,0,0,0,0,222,0,0,0,4,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,32,17,0,0
9185,2004,8,50,17,0,0,0,5,150,0,25,0,0,0,0,0,0,83,71,3,0,0,0,0,27,0,0,0,0,0,0,0,0
9185,2004,9,12,283,70,0,43,85,70,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
9185,2004,10,0,0,0,0,0,5,0,-3,5,2,8,0,25,0,0,60,3,50,155,15,42,0,0,0,158,5,103,25,0,0,260
9185,2004,11,70,5,0,0,0,0,0,10,87,144,175,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,5,NA
9185,2004,12,114,27,0,0,0,0,0,17,0,0,0,0,0,0,0,5,52,5,15,20,0,0,0,0,95,273,0,0,0,11,0
9185,2005,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,83,0,0,0,6,15,323,140,0,67,0,0,0
9185,2005,2,0,0,0,0,20,43,0,0,0,0,0,0,50,150,102,52,0,0,52,75,16,42,12,0,0,0,17,0,NA,NA,NA
9185,2005,3,0,0,40,12,57,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,30,0,41,20,-3,0,37,0,0
9185,2005,4,5,17,13,80,4,0,10,80,37,30,5,0,0,27,56,37,-3,10,25,15,9,0,0,37,0,0,0,0,0,0,NA
9185,2005,5,0,0,0,0,0,0,0,0,48,0,70,12,30,0,0,230,52,0,0,0,6,0,0,0,0,0,0,0,5,0,0
9185,2005,6,0,0,100,0,0,0,0,0,0,16,11,17,0,0,0,0,0,0,0,292,56,0,0,0,0,0,42,0,0,0,NA
9185,2005,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9185,2005,8,13,0,0,0,0,0,0,0,0,52,0,0,0,0,0,7,10,3,0,13,0,0,0,0,0,0,-3,0,0,0,-3
9185,2005,9,0,0,0,0,0,23,18,22,13,0,6,0,0,0,0,30,12,0,0,0,0,0,0,0,4,0,0,0,0,0,NA
9185,2005,10,0,20,0,0,0,0,0,0,0,6,0,250,50,0,2,0,40,42,0,5,0,75,0,0,0,0,0,300,0,102,0
9185,2005,11,0,0,0,28,0,0,0,82,102,0,0,262,192,37,122,40,5,0,0,0,0,0,0,3,70,22,0,5,16,5,NA
9185,2005,12,270,27,0,0,0,0,15,32,0,0,0,0,22,0,0,10,5,0,0,0,0,0,0,0,0,12,11,0,150,0,51
9185,2006,1,15,31,3,27,0,24,48,0,53,0,0,0,0,0,23,0,6,0,0,0,0,0,0,0,0,0,-3,-3,0,0,0
9185,2006,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,150,10,34,26,0,10,0,250,102,0,0,NA,NA,NA
9185,2006,3,0,0,13,172,72,0,13,0,25,72,54,0,0,0,0,0,88,125,36,0,0,0,42,0,0,0,12,0,0,0,0
9185,2006,4,0,0,0,5,100,0,12,0,40,0,0,0,0,53,0,135,13,0,44,33,100,10,0,0,0,0,11,0,0,0,NA
9185,2006,5,0,0,0,2,16,111,10,0,0,0,156,36,2,0,30,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
9185,2006,6,0,0,0,0,0,0,0,0,62,0,0,0,0,0,-3,60,182,37,264,11,0,0,119,516,0,0,330,5,24,50,NA
9185,2006,7,0,0,0,0,120,0,0,0,0,0,0,0,0,5,0,31,0,33,80,0,25,0,0,0,35,0,0,0,0,0,0
9185,2006,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,72,12,0,0,0,0,0,0,0,0,0,0,-3,-3,0,0
9185,2006,9,0,0,0,0,0,0,0,0,5,102,45,22,62,77,36,0,5,0,0,0,77,0,0,38,0,0,0,0,3,25,NA
9185,2006,10,0,20,22,5,0,45,0,0,0,0,0,0,0,0,0,40,132,80,122,15,0,86,9,7,23,0,0,0,0,0,0
9185,2006,11,0,0,0,170,3,2,17,0,0,0,0,0,0,0,104,90,3,0,12,25,112,0,55,50,25,7,0,0,0,0,NA
9185,2006,12,0,22,11,6,25,20,67,0,45,22,0,0,0,0,0,0,5,0,24,0,0,3,5,0,0,0,0,0,0,0,0
9185,2007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,55,102,31,0,0,0,0,72,31
9185,2007,2,0,0,0,50,57,3,26,105,0,5,80,4,13,36,0,62,134,40,0,46,0,0,26,17,56,0,3,0,NA,NA,NA
9185,2007,3,0,0,0,0,0,0,330,7,32,0,0,0,0,0,0,0,0,0,243,522,92,0,0,0,0,65,82,25,7,26,70
9185,2007,4,150,20,40,27,3,34,20,2,0,0,203,180,22,0,0,0,6,0,0,12,0,0,0,0,120,247,80,90,100,132,NA
9185,2007,5,292,25,20,0,0,0,0,0,0,0,0,16,7,0,0,0,0,190,9,66,8,20,213,13,26,3,61,0,0,0,4
9185,2007,6,0,9,0,0,0,0,13,16,42,0,0,0,0,77,0,55,20,0,0,25,0,0,0,0,0,0,0,0,0,0,NA
9185,2007,7,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9185,2007,8,0,0,0,0,-3,45,0,0,0,0,0,0,0,0,15,0,0,0,0,0,17,40,7,27,42,0,0,0,0,0,0
9185,2007,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,47,0,0,0,45,110,0,0,0,16,27,0,0,5,NA
9185,2007,10,31,15,122,133,26,0,0,0,0,100,0,0,0,0,0,30,0,0,0,0,0,0,25,0,0,0,0,0,36,92,0
9185,2007,11,0,0,0,0,0,0,0,0,0,0,0,0,0,52,18,0,0,0,192,172,0,27,7,0,0,0,0,0,0,0,NA
9185,2007,12,30,0,5,0,0,0,0,20,0,26,0,0,0,0,0,0,51,0,0,103,0,0,0,0,0,0,164,0,5,0,0
9185,2008,1,0,98,41,0,0,0,0,0,0,12,158,0,17,0,78,22,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
9185,2008,2,20,0,303,0,0,0,0,0,0,0,0,0,5,-3,3,0,4,27,40,55,0,0,0,5,0,0,20,12,0,NA,NA
9185,2008,3,0,0,0,200,0,0,0,0,40,5,0,0,0,0,0,0,15,16,0,0,90,72,87,5,6,91,15,0,0,31,10
9185,2008,4,5,0,0,0,0,0,175,47,57,172,22,0,61,16,0,121,304,27,190,3,140,0,0,0,0,0,0,0,0,0,NA
9185,2008,5,0,0,0,216,0,12,130,90,312,210,25,15,77,33,6,105,0,132,0,0,16,37,122,0,110,8,37,22,0,175,480
9185,2008,6,50,110,8,0,10,0,0,5,225,40,65,0,0,16,0,0,0,0,0,0,0,0,92,0,0,22,0,0,155,0,NA
