"MpNo","DateTime","Epoch","H2O_c","d18O_c","dD_c","H2O_a","d18O_a","dD_a","Dex_c","Dex_a","Dex_WV","E"
2,2018-09-08 23:00:00,1536440400.526,13776.8661098901,-19.6254432234432,-138.735919413919,16128.0142273479,-18.9595764989254,-125.48175337931,18.2676263736264,26.1948586120927,72.6455336505675,-0.743185733908589
2,2018-09-04 17:27:00,1536074820.43,18643.9241465201,-15.8290659340659,-98.0260586080586,17484.2439250447,-16.0883999263419,-118.206324655719,28.6064688644689,10.5008747550168,301.580533572379,0.366932229936081
2,2018-09-06 14:00:00,1536235200.386,18361.1429010989,-15.7181465201465,-60.4076703296703,13212.6556013172,-16.7029371353294,-104.784536234346,65.3375018315018,28.8389608482892,159.004364325694,1.62902360922221
2,2018-09-05 17:01:00,1536159660.253,20733.3321318681,-13.3198351648352,-28.773956043956,12719.3926987689,-16.2472379012698,-99.7431252117963,77.7847252747253,30.2347779983624,153.254031882639,2.53314709637229
2,2018-09-04 07:50:00,1536040200.448,15015.3291501831,-15.7717362637363,-141.13541025641,16292.7547629051,-16.9878228881967,-129.243664661076,-14.9615201465202,6.65891844449749,260.793482979886,-0.404592273945261
2,2018-09-06 17:00:00,1536246000.66,16946.2721245421,-14.9249743589744,-49.7088534798535,12930.9340941832,-16.7684286028693,-105.203846979273,69.6909413919414,28.9435818436819,200.913124143872,1.27048768396365
2,2018-09-07 16:23:00,1536330180.85,24472.6325444444,-15.3414111111111,-70.7757444444444,14365.1845028146,-17.1647118891601,-106.738927702919,51.9555444444444,30.5787674103613,82.3372337596259,3.19805991564083
2,2018-09-04 12:04:00,1536055440.422,22536.2087728938,-14.3402527472527,-113.540553113553,16784.3041305098,-16.4886463635043,-123.68438472748,1.18146886446887,8.22478618055436,-19.371232765833,1.82175670577399
2,2018-09-07 10:23:00,1536308580.178,17527.4997399267,-15.3961941391941,-99.1019963369963,13491.0822951202,-17.2454651936259,-116.978284254256,24.0675567765568,20.9854372947511,34.3690501530494,1.27715665069214
2,2018-09-07 01:23:00,1536276180.016,9942.5162014652,-17.123684981685,-141.12447985348,11720.605297914,-17.2773685692203,-126.606387251105,-4.13499999999999,11.6125613026571,99.6679819775464,-0.562606710315082
2,2018-09-06 11:00:00,1536224400.126,16842.3451758242,-15.4145201465201,-83.3320842490842,12998.1438615862,-16.7514631563251,-110.651840316786,39.9840769230769,23.3598649338149,96.1944263190905,1.21512838589057
